"Date","CONSTANT","NCHTEMP","T30","NLW","HTRANGE","COND20","HRHRANGE","ICRH","MTMA","T35","RANGET","MRHMA","ICT","RANGERH","NCLRH","T10","NonConducive","Moderate","Severe","Class","ClassNumber"
2002-08-12,1,4.39416666666667,5,1,2.06173913043478,6,4.85478260869565,42.1341666666667,41,9,21.94,70.7,29.5970833333333,47.63,5.46125,0,2324.13047080235,2315.66859189928,2318.86021617373,"NonConducive",0
2002-08-13,1,5.23416666666667,4,0,1.6804347826087,6,3.79173913043478,39.0491666666667,41.27,11,21.31,68.24,30.51625,48.21,7.97208333333333,0,2247.06816265054,2232.47574091956,2241.01792120815,"NonConducive",0
2002-08-14,1,4.38666666666667,5,0,1.96695652173913,7,4.58739130434783,36.7170833333333,40.06,9,21.83,68.57,29.3958333333333,56.38,10.9479166666667,0,2369.0794232779,2351.76076004891,2359.80492437283,"NonConducive",0
2002-08-15,1,3.29125,3,0,2.36608695652174,3,7.41,50.3504166666667,37.79,8,24.8,83.7,25.8620833333333,58.51,4.26125,0,2353.45924634964,2346.05290189928,2351.26782678804,"NonConducive",0
2002-08-16,1,2.3125,3,5,1.87173913043478,2,3.85739130434783,64.4441666666667,36.07,6,24.19,97,23.9404166666667,63.23,1.1975,2,2583.17608549547,2578.77222685906,2579.90637394438,"NonConducive",0
2002-08-17,1,0.905833333333334,7,1,1.56086956521739,5,3.87565217391304,68.4491666666667,31.86,0,17.81,94.5,22.0466666666667,51.76,0,0,2543.69169996341,2541.33294580145,2544.19826802935,"Severe",1
2002-08-18,1,0.739583333333334,6,0,1.51173913043478,6,4.3304347826087,57.2370833333333,31.39,0,18.48,87.2,22.2925,47.29,0.00375000000000014,0,2290.59346840272,2291.56599554964,2297.45558695598,"Severe",1
2002-08-19,1,0.474166666666667,5,0,1.88217391304348,5,5.77782608695652,65.9370833333333,30.58,0,19.68,97.8,20.0816666666667,60.73,0.462916666666667,4,2599.32927027862,2599.24946009457,2598.64803175471,"NonConducive",0
2002-08-20,1,0.514166666666667,6,0,1.65086956521739,4,4.47826086956522,67.0191666666667,30.42,0,20.84,96.8,20.4795833333333,57.52,0.0391666666666666,3,2431.60604105235,2429.3533814279,2436.81722395417,"Severe",1
2002-08-21,1,1.55041666666667,4,4,1.83434782608696,3,4.58782608695652,63.6933333333333,33.79,4,23.24,98.4,22.3366666666667,63.27,0.875,5,2594.97638442373,2591.62462996812,2592.9970046683,"NonConducive",0
